Mã MH	Tên Môn Học	Tên Lớp	Số TC	Sĩ Số	Đã ĐK	Khóa	Lịch Học	Nhóm TH	Nhóm BT	Địa Điểm	
ADD00031	Anh văn 1	24C3_1	3	35	0	2024	T3(6-9)-P.cs2:NĐH6.2	N/A	N/A	LT
ADD00031	Anh văn 1	24C4_1	3	35	0	2024	T4(6-9)-P.cs2:NĐH6.2	N/A	N/A	LT
ADD00031	Anh văn 1	24C5_1	3	35	0	2024	T5(6-9)-P.cs2:NĐH6.2	N/A	N/A	LT
ADD00031	Anh văn 1	24C6_1	3	35	0	2024	T6(6-9)-P.cs2:NĐH6.2	N/A	N/A	LT
ADD00031	Anh văn 1	24S3_1	3	35	0	2024	T3(1-4)-P.cs2:NĐH6.2	N/A	N/A	LT
ADD00031	Anh văn 1	24S4_1	3	35	0	2024	T4(1-4)-P.cs2:NĐH6.2	N/A	N/A	LT
ADD00031	Anh văn 1	24S5_1	3	35	0	2024	T5(1-4)-P.cs2:NĐH6.3	N/A	N/A	LT
ADD00032	Anh văn 2	24C2_1	3	35	0	2024	T2(6-9)-P.cs2:NĐH6.3	N/A	N/A	LT
ADD00032	Anh văn 2	24C2_2	3	35	0	2024	T2(6-9)-P.cs2:NĐH5.5	N/A	N/A	LT
ADD00032	Anh văn 2	24C3_1	3	35	0	2024	T3(6-9)-P.cs2:NĐH6.4	N/A	N/A	LT
ADD00032	Anh văn 2	24C3_2	3	35	0	2024	T3(6-9)-P.cs2:NĐH6.3	N/A	N/A	LT
ADD00032	Anh văn 2	24C3_3	3	35	0	2024	T3(6-9)-P.cs2:NĐH5.5	N/A	N/A	LT
ADD00032	Anh văn 2	24C4_1	3	35	0	2024	T4(6-9)-P.cs2:NĐH6.3	N/A	N/A	LT
ADD00032	Anh văn 2	24C4_2	3	35	0	2024	T4(6-9)-P.cs2:NĐH6.4	N/A	N/A	LT
ADD00032	Anh văn 2	24C5_1	3	35	0	2024	T5(6-9)-P.cs2:NĐH6.3	N/A	N/A	LT
ADD00032	Anh văn 2	24C5_2	3	35	0	2024	T5(6-9)-P.cs2:NĐH5.5	N/A	N/A	LT
