Viet	Unicode Hex	VNI	VNI Hex	VPS	VPS Hex	VISCII	VISCII Hex	TCVN3	TCVN3 Hex	VIQR	English Name
Á	U+0000C1	AÙ	41 D9	Á	C1	Á	C1	A¸	41 B8	A'	LATIN CAPITAL LETTER A WITH ACUTE
á	U+0000E1	aù	61 F9	á	E1	á	E1	¸	B8	a'	LATIN SMALL LETTER A WITH ACUTE
Ă	U+000102	AÊ	41 CA	ˆ	88	Å	C5	¡	A1	A(	LATIN CAPITAL LETTER A WITH BREVE
ă	U+000103	aê	61 EA	æ	E6	å	E5	¨	A8	a(	LATIN SMALL LETTER A WITH BREVE
Ắ	U+001EAE	AÉ	41 C9		8D		81	¡¾	A1 BE	A('	LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
ắ	U+001EAF	aé	61 E9	¡	A1	¡	A1	¾	BE	a('	LATIN SMALL LETTER A WITH BREVE AND ACUTE
Ặ	U+001EB6	AË	41 CB		4	ƒ	83	¡Æ	A1 C6	A(.	LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
ặ	U+001EB7	aë	61 EB	¥	A5	£	A3	Æ	C6	a(.	LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
Ẳ	U+001EB2	AÚ	41 DA		8F	[1]	2	¡¼	A1 BC	A(?	LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
ẳ	U+001EB3	aú	61 FA	£	A3	Æ	C6	¼	BC	a(?	LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
Ằ	U+001EB0	AÈ	41 C8	Ž	8E	‚	82	¡»	A1 BB	A(`	LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
ằ	U+001EB1	aè	61 E8	¢	A2	¢	A2	»	BB	a(`	LATIN SMALL LETTER A WITH BREVE AND GRAVE
Ẵ	U+001EB4	AÜ	41 DC	ð	F0		5	¡½	A1 BD	A(~	LATIN CAPITAL LETTER A WITH BREVE AND TILDE
ẵ	U+001EB5	aü	61 FC	¤	A4	Ç	C7	½	BD	a(~	LATIN SMALL LETTER A WITH BREVE AND TILDE
Ạ	U+001EA0	AÏ	41 CF	[1]	2	€	80	A¹	41 B9	A.	LATIN CAPITAL LETTER A WITH DOT BELOW
ạ	U+001EA1	aï	61 EF	å	E5	Õ	D5	¹	B9	a.	LATIN SMALL LETTER A WITH DOT BELOW
Ả	U+001EA2	AÛ	41 DB		81	Ä	C4	A¶	41 B6	A?	LATIN CAPITAL LETTER A WITH HOOK ABOVE
ả	U+001EA3	aû	61 FB	ä	E4	ä	E4	¶	B6	a?	LATIN SMALL LETTER A WITH HOOK ABOVE
Â	U+0000C2	AÂ	41 C2	Â	C2	Â	C2	¢	A2	A^	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
â	U+0000E2	aâ	61 E2	â	E2	â	E2	©	A9	a^	LATIN SMALL LETTER A WITH CIRCUMFLEX
Ấ	U+001EA4	AÁ	41 C1	ƒ	83	„	84	¢Ê	A2 CA	A^'	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
ấ	U+001EA5	aá	61 E1	Ã	C3	¤	A4	Ê	CA	a^'	LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
Ậ	U+001EAC	AÄ	41 C4		3	‡	87	¢Ë	A2 CB	A^.	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
ậ	U+001EAD	aä	61 E4	Æ	C6	§	A7	Ë	CB	a^.	LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
Ẩ	U+001EA8	AÅ	41 C5	…	85	†	86	¢È	A2 C8	A^?	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
